category,title,company,description
business-development,Sales Business Development,"
Green Key Resources","About the job
Title: Professional Services - Business Development/Account Manager
Location: New York, NY
Schedule: 2 days per week in our NYC office (or other locations considered)
Compensation: Commission-based compensation structure
 
**PLEASE NOTE THIS IS A HYBRID IN OFFICE ROLE, WITH COMMISION BASED COMPENSATION - PLEASE ONLY APPLY IF INTERESTED IN SUCH**

COMPANY OVERVIEW





Green Key Resources has offices nationwide and is rapidly growing. We have been named among Forbes’ Best Professional Recruiting Firms and Best Temporary Staffing Firms, as well as Inc 5000’s Fastest Growing Companies, Chicago’s Best and Brightest Companies to Work For, Crain’s NY Top Recruiting Firms, and the list keeps going. Be a part of a dynamic, growing organization today.
 
POSITION OVERVIEW

Green Key Resources is currently looking for 4 recruiters/account managers to join our thriving & experienced recruiting division specializing in Healthcare or Pharma to support their temporary opportunities in NYC and Nationwide. We are seeking motivated, self-starters for this team - people who want to make a big impact! This is a highly successful close-knit team that needs someone who can hit the ground running. If you are highly motivated with previous experience in recruiting and/or account management - this could be the position for you! Green Key Resources continuously supports the growth and development of our employees making sure our resources and technology is the best in the industry.
 
The Role: Professional Services - Business Development/Account Manager
· Client Relationships: Develop and nurture strong relationships with clients to understand their unique needs
· Strategic Planning: Create and execute strategic recruitment plans to achieve client goals. 

· Team Leadership: Lead and collaborate with recruiters to ensure successful placements. 

· Client Consultation: Provide expert advice and consultation to clients on their recruitment needs.
· Maintain and grow client database by selling consulting opportunities.
· Network, cold call, and conduct in-person meetings with potential and existing clients.
· Quantify business relationships with key decision makers/hiring managers within targeted accounts.
 
 
WHAT WE OFFER:

· Continuous training and development for professional growth from seasoned recruiters
· Aggressive and lucrative commission structure to disrupt industry standards and all in-house positions
· Full Benefits - medical, dental, vision, 401K
· Employee referral program
· Paid time off - Holiday, Sick, and Vacation time
· Holiday parties, happy hours, summer half-day Fridays and so much more!
 
 
QUALIFICATIONS:

· BA/BS Degree
· Minimum 4-5 years experience in business development - selling professional services (executive assistants, admin support, HR, customer service, marketing & sales, legal support, procurement, office managers, etc.)
· Excellent communication and presentation skills
· Proven success working in a fast-paced work environment or someone with an innate drive to be the best"
business-development,Business Development,"
Salisbury Moore, LLC","About the job
This postition will be responsible to drive business growth in the construction sector of hotel renovations, by identifying opportunities, generating leads, and building client relationships. Manage proposals, bids, and contract negotiations while collaborating with internal teams for smooth project transitions. Attend industry events and provide regular sales updates to senior management.
Key Responsibilities:

Conduct market research to identify new business opportunities.
Manage pipelines and generate leads through client outreach.
Develop and submit competitive proposals and bids.
Build and maintain strong client relationships.
Negotiate contracts with clients, contractors, and subcontractors.
Represent the company at industry events and trade shows.
Collaborate with project teams to ensure seamless execution.
Provide regular business development reports and sales forecasts.
Qualifications:

5-10 years of business development or sales experience in construction.
Strong industry knowledge, including bidding processes and regulations.
Excellent communication, negotiation, and organizational skills.
Ability to manage multiple projects and meet deadlines.
Proficiency in Microsoft Office and CRM software.
Additional Requirements:

Ability to travel to job sites and client locations.
Comfortable working on active construction sites with required PPE.
Valid driver’s license and reliable transportation."
business-development,Business Development,MMR Group,"About the job
Job Title: Business Development


Location: Salt Lake City, UT


Company Overview: MMR Group is the largest privately owned open-shop electrical and instrumentation contractor in the United States, leading the industry in providing instrument and technical services. With over 30 offices across North and South America, MMR offers a diverse range of services, including electrical construction and maintenance, power distribution, panel and modular control building fabrication, telecommunications and security systems, commissioning and start-up assistance, power development, maintenance services, mission-critical construction, and power engineering and design.


Position Summary: Business Development will play a pivotal role in expanding MMR's market presence by identifying new business opportunities, build and maintain existing client relationships, and promote the company's comprehensive range of services. This role requires a strategic thinker with a deep understanding of the industrial construction sector, particularly in electrical and instrumentation services.


Key Responsibilities:

Market Analysis: Conduct thorough market research to identify emerging trends, potential clients, and new market segments within the industrial construction industry.
Client Acquisition: Develop and implement strategies to attract new clients, focusing on sectors such as oil and gas, chemical and petrochemical, industrial manufacturing, power generation, and renewable energy.
Relationship Management: Build and nurture long-term relationships with key stakeholders, including clients, industry partners, and internal teams, to foster collaboration and ensure client satisfaction.
Proposal Development: Collaborate with the estimating and project management teams to prepare compelling proposals and presentations that effectively communicate MMR's value proposition.
Brand Promotion: Represent MMR in a professional manner at industry events, conferences, and networking functions to enhance the company's visibility and reputation in the market.
Strategic Planning: Work closely with senior management to develop and execute business development plans that are aligned with MMR's growth objectives and mission to provide exceptional value and the highest level of service and quality.
Qualifications:

Bachelor's degree in Business Administration, Marketing, Engineering, or a related field.
Minimum of 5 years of experience in business development, sales, or a related role within the industrial construction sector.
Proven track record of successfully securing new business and managing business relationships while achieving sales goals and targets.
Strong understanding of electrical and instrumentation services and their applications across various industries.
Excellent communication, negotiation, and interpersonal skills.
Ability to travel as required to meet with clients and attend industry events.
Why Join MMR?

At MMR, we believe that our employees are our greatest asset. We offer exceptional benefits and wellness programs that provide our employees and their families with convenient and affordable care. Our investment in significant employee benefits drives our exceptional employee retention rate and sets us apart within our industry.


If you are a forward-thinking professional with a passion for driving business growth and building lasting client relationships, we invite you to apply for the Business Development position at MMR Group.


Application Process: Interested candidates are encouraged to submit their resume and cover letter to the job posting. 



MMR Group, Inc. and its affiliated companies are Equal Opportunity Employers and do not discriminate against any applicant or employee based on race, color, religion, sex, national origin, age, disability, or genetic information."
business-development,Business Development Specialist,"
PuroClean of Wolf Creek","About the job
Company Description

 
We suggest you enter details here.


 Role Description

 
This is a full-time on-site role for a Business Development Specialist located in the United States. The Business Development Specialist will be responsible for tasks such as lead generation, market research, customer service, and utilizing analytical skills to drive business growth.


 Qualifications

 
Analytical Skills and Market Research abilities
Strong Communication and Customer Service skills
Lead Generation expertise
Prior experience in business development or sales
Excellent interpersonal skills and ability to work in a team
Proven track record of meeting and exceeding sales targets
Bachelor's degree in Business Administration or related field"
business-development,Solar Business Development ,"
KPost Company","About the job
As a Solar Business Development at KPost you will play a pivotal role in our mission to expand the adoption of solar energy solutions in the Texas marketplace. You will be responsible for identifying, developing, and managing new business opportunities in the dynamic and rapidly growing solar market. This role combines technical expertise, sales acumen, and relationship-building skills to drive the growth of our solar business. The ideal candidate will prospect, market, run appointments, give presentations, obtain clients, and manage the client’s jobs throughout the process of doing repairs to the property of those clients.


Job Expectations:
Use company CRM and processes to track all leads, from the moment they are generated to the moment they are converted into customers.
Qualify leads to determine whether or not a lead is a good fit for the company's products or services. Pivot the sale from Solar to Tesla Solar Roof to just Roofing as needed.
Listen to client needs and then suggest products or services that will meet those needs while explaining the short and long term benefits.
Generate new leads by making cold calls and emails to previous roofing/solar clients or lost opportunities.
Produce solar layout designs for each project
Identify new potential clients and develop a strategy to reach them.
Give presentations, attend trade shows, or meeting with potential clients one-on-one.
Build rapport with clients creating a sense of trust so the clients will do business with the company now or in the future.
Present proposals to potential customers that clearly outline the benefits of solar panels and the cost of installation. They should also be able to answer any questions that the customer may have.
Close deals and sell solar panels, tesla solar roof, and batteries. This requires being able to negotiate prices, overcome objections, and follow up with customers after the sale.
Develop new construction opportunities by targeting developers, general contractors, and design build luxury home builders in Texas focusing on DFW , Austin, and San Antonio.
Stay up-to-date on the latest industry trends, such as new solar technologies and government incentives. This will help them to better educate potential customers and close more deals.
Handle, manage, and negotiate customer files and calls in a timely manner.


Additional:
Base Pay plus Unlimited Commission (Total Year 1 Earning Potential $100,000.00+)
Must be always neat and clean in KPost uniform when representing KPost Roofing.
Must be professional and in line with the KPost Roofing company culture when working with KPost Roofing clients and staff.
Willingness to generate leads daily by educating prospective clients in the field.
Must be on time for appointments with Customers and Team meetings.
Must communicate clearly and timely with KPost Roofing Sales Team and KPost Roofing office personnel.
Must be able to use Aurora, Word, Excel, Power Point, Outlook, and Acculynx.
Must continue to educate yourself in our industry regarding sales techniques, application processes, product knowledge and all other areas pertaining to your job.
Must have a customer focus and adaptability to different personality types.
Strong phone and verbal communication skills along with active listening.
Ability to multi-task, set priorities and manage time effectively.
Ability to explain and collect supplements in a timely manner.
Ensure job profitability through scope identification, construction knowledge, and expectation setting."
business-development,Sales Business Development,Monroe and Weisbrod,"About the job
About our company:



Monroe and Weisbrod is a rapidly growing behavioral-health focused staffing firm that assists hospitals and clinics across the country in securing qualified behavioral health professionals.
We work with individuals on the front-lines of our nation's growing mental health crisis; and are seeking our next team member to help us leave our mark in the communities we serve as we continue to become the nation's leading behavioral health staffing firm.


Things you will accomplish:



Commit to excelling in your role by completing a comprehensive 1-month training program, where you will master and put to use client prospecting, business development, and the candidate selection process, while building and applying in-depth knowledge of staffing, recruiting, and the behavioral health industry.
Learn from ongoing personal 1x1 training and coaching to effectively perform in the roles of business development and account management in the behavioral health staffing industry.
Build and maintain a pipeline of organizations employing behavioral health providers to garner interest in partnering with our organization to help them procure new psychiatrists and psychiatric nurse practitioners.
Take ownership of your success by organizing your day, desk, and call schedule to effectively engage with the pipeline of organizations and contacts you’ve built, driving results to secure new client contracts each month.
Proactively manage your client relationships by working closely with our recruitment team to ensure a high job-placement rate, delivering quality candidates that meet your clients' needs and expectations.
Handle client objections and persistently follow up to ensure successful candidate progression through the interview and hiring process.
Control and drive the entire sales cycle: From prospecting, getting client contracts, presenting candidates, scheduling interviews, handling job offers, ensuring successful candidate start.
Meet and exceed daily, weekly, and monthly sales targets and call goals
Drive your growth in a competitive, sales-focused environment by actively working to achieve both individual and company goals.


Qualifications:



Experience – Minimum 1 year sales experience in a commission-based role (staffing experience within the medical field a plus)
Communicative – Able to handle and overcome objections. Ability to make 60 cold calls per day.
Competitive – Eager to win and achieve sales goals, even if that involves thinking outside of the box at times.
Proactive - Ability to organize and structure your own day independently in order to achieve personal metrics and goals.
Associate’s or bachelor’s degree preferred
This is an in-person job. The ability to come to the office 5 days per week is a must.


Key Benefits:



100% Company-paid benefits (Vision, Dental, Medical, Short/Long-term disability, Maternity/Paternity leave)
Generous PTO schedule, on top of 16 paid holidays
Year-round 35-hour workweek (9am-5pm with a one-hour lunch), designed as a baseline expectation to support work-life balance while allowing flexibility for those who go above and beyond.
Competitive bonus structure with uncapped compensation
Ongoing 1-on-1 training and sales coaching


Compensation:



Base Salary + Uncapped Monthly Commission
Performance pays off: Top account managers with a dedicated focus within our organization enjoy a six figure potential total compensation.
 
We're looking for someone who isn't discouraged by ""no"", who maintains a positive attitude, and who is motivated to achieve success. If you're a driven self-starter eager to make your mark in a dynamic sales environment, apply today to join our team at Monroe and Weisbrod."
business-development,Business Developer,Valeo Vocation,"About the job
Job Title: Business Developer

Department: Social Enterprise Staffing 

Branch/Location: Tacoma 

Reports to: Social Enterprise Manager 

Compensation: $60,000 - $65,000 base + generous commission structure 

 


Valeo Vocation combats poverty and homelessness in Pierce County by providing employment opportunities to low-income participants while matching motivated, qualified workers to community businesses. There are a wide variety of barriers that may be preventing individuals from achieving self-sustainability, and Valeo works to help participants overcome these challenges to move into permanent employment and housing. As the employer of a large and temporary workforce, the Business Development Representative (BDR) position is a critical component of ensuring the staffing model of our social enterprise is successful, creating employment opportunities for Valeo participants. 



The primary role of the BDR is to use strong operational and sales expertise to expand and improve our branding initiatives while growing our company’s book of business. Strong interpersonal skills are required to maintain valued customer partnerships while brokering new relationships. Duties will include: market research, developing business strategies and pitches, managing a variety of projects, establishing networks with industry specialists and identifying new business opportunities. Previous experience as a Business Developer or other sales professional in a related industry is highly preferred. 



Duties and Responsibilities: 


Sales: 



Analyzing and expanding business operations toward sustained growth 
Monitoring revenue streams and identifying opportunities to increase profitability, which in turns is reallocated back into Social Services for our clients 
Evaluating and improving sales, marketing, and branding strategies 
Identifying and developing new service lines based on market opportunities 
Conducting market research and identifying potential clients 
Cultivating strong relationships with new clients, while maintaining existing client relationships 
Collating and maintaining client information in the CRM database 
Working closely with staff across departments to implement growth strategies 
Performing competitor analysis toward obtaining an increased market share 
Developing client relationships and strengthening industry partnerships 
Identifying new clients by researching and creating networking opportunities 
Negotiating and closing business deals that promote sustained revenue 
Use Salesforce to track leads, opportunities, and closed accounts 
Conduct in person, email, phone connections with prospective customers 
Finding and following new sales leads 
Arranging business meetings and one-on-one conversations with prospective clients 
 
Account Management: 



Maintain monthly updates on active accounts, checking in with leadership to do quality checks 
Resolve customer complaints or problems 
Develop current accounts into larger accounts 
Exceptional communication and presentation skills, and ability to express technical and nontechnical concepts clearly and concisely 
Expert understanding of service and product, and ability to innovate new ways the product can serve customers 
Excellent organizational skills to meet goals and set priorities 
Executing sales objectives 
Managing customer accounts 
 
All Team Shared Duties: 



Answer phones, write notes, and notify personnel of information 
Receive incoming guest and direct the flow of traffic 
Ensure cleanliness of work environment 
Flexibility in duties and comprehension of others positions in order to help out where needed, and able to coordinate activities between departments 
Attentive and warmly receptive to clients and their children 
Ability to work through noise and movement distractions 
 
Preferred Qualifications: 


3-5 years direct B2B sales 
Strong knowledge of managing budgets, setting goals, reaching targets 
Ability to operate in rapidly changing environments 
Ability to work either in a team environment or independently while constantly promoting positive team spirit 
Maintain valid WA state driver's license and driving record that will be insurable under Valeo Vocation’s auto insurance policy 
Strong computer literacy. Knowledge of CRM’s, database management and Microsoft Office proficiency. Outlook and Salesforce experience highly preferred 
Compassion and understanding in working with high-need individuals. Adaptability in relating to individuals experiencing homelessness 
Compassion driven and intercultural competent. Ability to work fluidly with diverse population of individuals facing multiple barriers 
Excellent time management and organizational skills "
business-development,Business Development Specialist,"
Pacific International Executive Search","About the job
Business Development Specialist(Sector Lead) – Executive Search

Pacific International is looking for a dynamic Sector Lead to drive new business growth and lead high-impact executive search projects. If you're a results-driven professional with a passion for building client relationships and delivering top-tier talent solutions, we want to hear from you!
Key Responsibilities:

✅ Business Development:

Generate new business opportunities in line with annual targets set with the Board of Directors.
Engage in daily outreach to prospective clients through calls, online business media, job boards, and internal leads.
Identify and pursue new sales opportunities by building relationships with senior-level contacts.
Collaborate with the Head of Sector and Regional Director to assess opportunities and negotiate commercial terms.
✅ Sales & Recruitment Delivery:

Lead and close recruitment projects, ensuring high-quality service delivery aligned with the Pacific Way of Working.
Conduct formal intake meetings, weekly client calls, and process steps to drive efficient results.
Identify future opportunities within both current and prospective client organizations.
Support and co-deliver client projects alongside Client Delivery Managers and Executive Search Associates/Consultants.
✅ Collaboration & Strategy:

Prepare and engage in team huddles with defined deliverables.
Work closely with Marketing and Finance teams to support client and sector growth.
Maintain accurate client data in our CRM system (Pump), including contact details, role information, and signed agreements.
Who We're Looking For:

🔹 Proven experience in executive search, sales, or business development.
🔹 Strong commercial acumen and ability to engage senior stakeholders.
🔹 Excellent communication, negotiation, and relationship-building skills.


Join us and be part of a collaborative, high-performing team driving success in executive search!"
finance,Finance Manager,"
Phoenix American","About the job
Company Description

Phoenix American is the parent a diversified group of companies providing back-office financial services to investment fund clients since 1972. Phoenix American is a registered transfer agent with the Securities and Exchange Commission and has administered millions of investments for hundreds of funds of every size, strategy and asset class. The company performs full-service fund administration for private equity and venture capital funds and sales reporting and data analytics for mutual funds and other asset management companies. Phoenix American is also the industry leader in the field of managing agent and administration services for asset-backed securitizations (ABS) in the commercial aviation industry. The company has a reputation for excellence, offering unparalleled experience, superior technology and committed customer service to clients for more than 50 years.
Job Description

Job Summary:
Full-time position with partial work from home opportunity to oversee all banking functions, including corporate accounts payable, daily deposit process, disbursement of funds for clients of multiple service platforms and foreign currency transactions. Also, handle communication with domestic and foreign banks for both internal and external clients. This position will manage a team of 3 in daily operations and will be responsible for maintaining a high degree of customer service on all processes. We are seeking a highly organized, self-motivated, detail-oriented person for the position willing to participate in the processes as needed.
Essential Duties and Responsibilities:


· Hands-on supervision of accounts payable processes, including daily invoice processing, weekly check runs, month-end close to General Ledger and perform related reporting and reconciliations.
· Supervise and participate in daily communication with banks performing transactions on behalf of clients.
· Perform daily cash balance, activity and projection reporting, including reporting to senior management.
· Hands-on supervision of daily deposit processes, plus daily review of bank balances and reporting.
· Monitor departmental deadlines and liaison with other departments to ensure timely submission of payment requests.
· Manage and perform annual processing of corporate IRS Form 1099s to applicable vendors and ensure compliance to regulations.
· Assist in migration to Oracle Financials AP & AR modules in Release 12i from current version 10.
· Responsible for establishing and maintaining appropriate policies & procedures and internal controls.
· Create new methods for efficiencies as applicable.
· Interact with internal departments, external clients, and coordinate with oversees subsidiary companies performing similar processes.
Qualifications

· Bachelor’s degree in Accounting and/or Finance
· At least 7+ years of work experience in cash management functions required
· Prior experience in managing staff required.
· Understanding of banking industry processes terminology.
· Understanding general ledger transactions.
· Intermediate to advanced knowledge of Microsoft Excel and other Microsoft Office applications.
· Prior experience with Oracle accounting software preferred.
· Must have strong communication and organizational skills.
· Must have excellent analytical skills and be detail-oriented.
· Ability to meet strict deadlines and work independently.
 
Candidate Profile:


· Seeks to enhance knowledge and skills.
· Adapts to new situations and changing work responsibilities.
· Functions as an effective team member and supervisor.
· Interacts and cooperates to assist others.
· Addresses issues and makes suitable suggestions.
Additional Information

EQUAL OPPORTUNITY EMPLOYER
All your information will be kept confidential according to EEO guidelines."
finance,Financial Sales Consultant,Legacy Financial,"About the job
Exciting Opportunity Alert! Join Our Dynamic Team as a Financial Consultant!



Format: In-Office - must be willing to commute to our office in Garden City, NY (Nassau County)
Schedule: Monday-Thursday, 10am-8pm EST (2 hour breaks) & Friday, 10am-6pm (1 hour break)
Are you ready to launch your career into high gear? Legacy Financial is seeking passionate Financial Consultants to join our elite team of go-getters! If you're driven, ambitious, and eager to embark on a rewarding journey in sales, then look no further.


Why Join Us?

At Legacy, we're not just another company; we're a tight-knit family of achievers who support each other every step of the way. Here, you'll find a vibrant, energetic environment where your success is celebrated and your potential knows no bounds. Plus, with a booming market on our side, the sky's the limit when it comes to your earning potential!


What You'll Do:
Say goodbye to cold calling! Say hello to warm leads from interested and responsive clients.
Crush your daily metrics and exceed monthly targets with finesse.
Connect with clients on a deeper level, understanding their financial needs and guiding them toward the best solutions for them and their families.


What We're Looking For:
A minimum of 1-2 years of successful sales experience or a Bachelor's degree is required.
Proficiency in CRM platforms and the ability to juggle multiple systems effortlessly.
A hunger for success, a positive attitude, and an insatiable desire to learn and grow.
Exceptional active listening skills paired with genuine empathy and a consultative approach.
Thrive in a fast-paced environment and embrace the opportunity to work evenings to maximize your earning potential.
Local applicants only. Nassau County, Western Suffolk County, Queens, and Brooklyn only


Perks & Compensation:
Two compensation packages, one starting with a Base Salary of $50,000
OTE $100,000+ in first year, with top reps making 200,000-300,000
Tenured Rep package of Draw + Commission with unlimited earning potential.
Join a team where fun, camaraderie, and financial success go hand in hand!


Ready to Take the Leap?
If you're ready to kickstart your career in sales and join a winning team, then we want to hear from you! Don't miss out on this incredible opportunity to make your mark and soar to new heights with Legacy. Apply now and let's embark on this exciting journey together!
Job Type: Full-time
Compensation: Base + uncapped commission according to experience"
finance,Finance Specialist,"
Franklin County Community Development Corporation","About the job
The Franklin County Community Development Corporation (FCCDC), a community economic development organization based in Greenfield, MA, is seeking a Finance Specialist. The Finance Specialist will support the day-to-day financial operations of the organization, including bookkeeping, accounts payable/receivable, payroll, and grant reporting assistance. This role includes general administrative and client engagement tasks to keep our office running smoothly and to serve entrepreneurs in our community. 



Duties and Responsibilities 

Accounts Payable (AP) & Vendor Management 

• Processes invoices, ensures proper coding, and enters payments into the accounting system
• Schedules and processes vendor payments 

• Assists in tracking grant and loan-related expenditures 

• Tracks outstanding payables and ensures timely disbursement Accounts Receivable (AR) & Revenue Management 

• Invoices tenants, donors, and program participants 

• Monitors incoming payments and follows up on outstanding receivables 

• Records all deposits, including donations, grants, loan payments, and other income Banking & Reconciliations 

• Processes ACH payments 

• Processes and records bank deposits, including checks and electronic transfers 

• Performs monthly bank reconciliations and resolves discrepancies 

• Manages credit card transactions and reconciliations, ensuring accurate classification 



Financial Record-Keeping & Audit Support 

• Maintains financial documentation for audits and compliance 

• Provides financial data and reports as needed for grant reporting and board meetings Client Engagement & Training 

• Provides limited technical assistance to clients on related topics 

• Conducts workshops on financial best practices, accounting systems, or other related topics 



General Duties 

• Demonstrate a commitment to diversity, equity, and inclusion through continuous development, modeling inclusive behaviors, and proactively managing bias 

• Help meet organizational goals and mission; participate in anti-racism activities; and help work for racial, social, and economic justice 

• Participate in FCCDC client and staff meetings, team meetings, and professional development activities 

• Ensure FCCDC values are brought to all aspects of the work: Racial, Social, and Economic Justice; Community Empowerment; Innovation; Collaboration; and Integrity 



Requirements 

Minimum Requirements 

• Proficient in Microsoft Office (Excel, Word, Teams, Outlook) 

• Proficient with QuickBooks • Knowledge of accounting principles 

• Strong attention to detail and organizational skills 

• Strong communication skills for client interactions and team collaboration 

• Ability to manage multiple tasks and meet deadlines Desired Qualifications 

• Previous experience in a nonprofit setting 

• Familiarity with grant reporting 



If you are excited about this role and have relevant experience but your experience does not align exactly with every requirement, we encourage you to apply. 



Please note: to apply, please follow instructions on our website, fccdc.org/careers. You must send a resume and cover letter to resumes@fccdc.org to be considered."
finance,Financial Advisor,Tristate Financial Advisors,"About the job
Tristate Financial Advisors (TFA) provides the ability to create your own financial success by helping clients enjoy their own. Previous finance experience isn’t required to join our team; however, the ability to quickly pick up on market trends, great people skills, a strong work ethic, and an entrepreneurial spirit are certainly prerequisites to excel in this career. We will provide you with extensive training, resources, and the support you’ll need to be better than your best.


Being a Tristate Financial Advisor requires a contemporary way of thinking and doing. At TFA, we’ve completely reinvented the concept of financial advice to provide our clients with a whole new level of satisfaction in their futures. Unlike most advisors, we go beyond the traditional focus of our clients personal and financial lives by considering a more important aspect of their financial picture: their profession.




Daily, our advisors:
Identify and set appointments with potential clients.
Meet with current and prospective clients to assess their financial needs.
Develop customized financial plans to address each of their clients’ desired goals.
Maintain strong relationships with clients, helping them track their progress over time.
Provide ongoing consultation and support.


TFA differs from other firms for many reasons, but our 'google meets wall street’ culture really sets us apart from the rest. Our fun, fast paced, yet laid-back mentality has helped us become a fast-growing firm that specializes in providing comprehensive financial planning and wealth management services to help our clients realize their dreams.


Features of this position:
One-on-one training from seasoned leaders in the local financial planning industry include:
Financial planning, analyzing investment portfolios, portfolio management & recommendations, marketing techniques, consultative selling, client service, and regulatory compliance.
Uncapped earning potential – advisors can make $100,000+ in their first year; advisors must be comfortable with most of their compensation coming from their individual results.
Significant career growth opportunities within the company, including a leadership program (District Manager, Field Vice President, and other opportunities).


Job Requirements:
Currently holds or working on a bachelor’s degree in business or industry-related field.
Ability to obtain series licenses.
Must be a U.S. or Permanent Resident.
"
finance,Financial Advisor,"
Affirmative Wealth Partners","About the job
Affirmative Wealth Partners is looking to hire a local Metro DC junior financial advisor interested in a 1099 or W2 model, with significant growth opportunities and access to an entire team to support business development and client acquisition.


Advisors who join Affirmative Wealth Partners gain access to a seasoned team that supports strong client relationships while helping them focus on personal growth and business transition. Whether you're exploring succession planning, selling your practice, or affiliating with a firm that offers abundant resources and support, we welcome the opportunity to discuss how we can be a fit.


Our firm offers deep experience in investment management, financial planning, retirement planning, education planning, and wealth preservation, ensuring that advisors and their clients receive personalized and actionable guidance. We also have extensive expertise in alternative investments, financial planning, and family governance, allowing us to align financial strategies with clients' long-term goals and values.


If you’d like to explore potential opportunities for growth and partnership, please contact Anu Patel at anupatel@affirmwp.com.
 
https://affirmativewealthpartners.com/

Job search faster with Premium"
finance,Finance & Warehouse Assistant,Norman Rockwell Museum,"About the job
Our Mission

The Norman Rockwell Museum illuminates the power of American illustration art to reflect and shape society, and advances the enduring values of kindness, respect, and social equity portrayed by Norman Rockwell.
 
As a center devoted to the art of illustration, the Museum also exhibits the works of contemporary and past masters in an ongoing series of compelling artist showcases. Set on a picturesque 36-acre estate in the hometown of America’s favorite artist, the Norman Rockwell Museum is one of the crown jewels of the Berkshires. 

 

Equity Goals

NRM embraces the values of diversity, equity, access, and inclusion to create a successful workplace and a more equitable society. Our mission embodies these values. We are committed to building a team that represents a variety of identities, experiences, backgrounds, perspectives, and skills. We believe that the more inclusive we are, the more successful the organization, its employees, and our work in the world will be. Norman Rockwell Museum is an equal opportunity employer that is committed to equity and inclusion. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual, gender identity, national origin, disability, veteran status, or other legally protected characteristics. Norman Rockwell Museum is a drug-free workplace.
 

The Position 
The Finance Assistant performs a range of administrative and accounting duties to support the finance department. The role includes processing various financial transactions while adhering to the approved systems of internal control and financial management. The Finance Assistant is responsible for day-to-day tasks in the finance department ensuring accuracy of all transactions.
The Warehouse Assistant works with the Warehouse Coordinator and Museum Store staff to assist with a variety of duties to support warehouse and store operations.


Financial Management Duties

· Deposits checks and compiles and enters data from all revenue streams into financial accounting software. This includes revenue from retail, admissions, and development. 

· Distributes invoices to department heads for approval and general ledger coding.
· Enters invoices into financial accounting software and maintains up to date payables report.
· Pays invoices prior to due date.
· Maintains organized digital files of all accounts receivable and accounts payable documents. 

· Prepares and distributes 1099s to vendors 

· Retrieves and distributes credit card transactions to cardholders for expense report completion. 

· Tracks accounts receivables and assists with invoicing as needed.
· Assists with the preparation of monthly entries, reconciliations, and financial reports as needed. 

· Prepares and submits filings for receipt of grant funds. 

 
Administrative Duties 

· Picks up mail twice per week and distributes items digitally or physically.
· Picks up bank deposit bags twice per week. 

· Maintains organization of office supplies and assist with orders. 

· Supports finance and other departments as needed.
 
Warehouse/Store Duties

· Assists with receiving incoming merchandise.
· Assists with packaging and shipping outgoing product.
· Assists with inventory controls including regular counts of warehouse and store product.
· Available to work in the Museum Store as a retail associate using the Point of Sale (POS) system to process customer transactions.
· Performs other duties as assigned.


Equity Goals

Works effectively with colleagues, vendors, and all constituents across group identities. Takes part in continuing learning opportunities to create a welcoming environment and support the mission of NRM.


Qualifications

Good knowledge of accounting and solid bookkeeping skills. Familiarity with accounting software. Strong technology skills with comprehensive knowledge of Microsoft Office applications, with particular emphasis on Excel. Exceptional math, problem solving, organizational skills, and attention to detail. A strong and confident communicator who is comfortable and professional in dealings with colleagues and constituents. 



Education & Experience

Associate Degree with concentration in Accounting preferred, or equivalent combination of education and/or experience. 

"
