Resume_ID,JD_idx,JD_title,Score
26801767,8,"IT Director, Technical Services",0.0
26801767,9,IT Summer Intern,0.0
27372171,0, Systems Administrator,0.073
27372171,1,Head of Digital Technology,0.036
27372171,2,Information Technology Technian,0.104
27372171,3,Information Technology Support Technian,0.267
27372171,4,Information Technology Intern,0.016
27372171,5,IT Intern,0.0
27372171,6,Director of Information Technology,0.118
27372171,7,IT Support Intern,0.056
27372171,8,"IT Director, Technical Services",0.105
27372171,9,IT Summer Intern,0.0
91697974,0, Systems Administrator,0.0
91697974,1,Head of Digital Technology,0.0
91697974,2,Information Technology Technian,0.0
91697974,3,Information Technology Support Technian,0.036
91697974,4,Information Technology Intern,0.0
91697974,5,IT Intern,0.0
91697974,6,Director of Information Technology,0.0
91697974,7,IT Support Intern,0.0
91697974,8,"IT Director, Technical Services",0.0
91697974,9,IT Summer Intern,0.0
28672970,0, Systems Administrator,0.093
28672970,1,Head of Digital Technology,0.081
28672970,2,Information Technology Technian,0.0
28672970,3,Information Technology Support Technian,0.087
28672970,4,Information Technology Intern,0.036
28672970,5,IT Intern,0.0
28672970,6,Director of Information Technology,0.124
28672970,7,IT Support Intern,0.0
28672970,8,"IT Director, Technical Services",0.053
28672970,9,IT Summer Intern,0.0
66832845,0, Systems Administrator,0.06
66832845,1,Head of Digital Technology,0.0
66832845,2,Information Technology Technian,0.0
66832845,3,Information Technology Support Technian,0.019
66832845,4,Information Technology Intern,0.0
66832845,5,IT Intern,0.0
66832845,6,Director of Information Technology,0.0
66832845,7,IT Support Intern,0.0
66832845,8,"IT Director, Technical Services",0.0
66832845,9,IT Summer Intern,0.135
25207620,0, Systems Administrator,0.0
25207620,1,Head of Digital Technology,0.0
25207620,2,Information Technology Technian,0.052
25207620,3,Information Technology Support Technian,0.035
25207620,4,Information Technology Intern,0.0
25207620,5,IT Intern,0.0
25207620,6,Director of Information Technology,0.0
25207620,7,IT Support Intern,0.014
25207620,8,"IT Director, Technical Services",0.0
25207620,9,IT Summer Intern,0.0
41344156,0, Systems Administrator,0.0
41344156,1,Head of Digital Technology,0.059
41344156,2,Information Technology Technian,0.0
41344156,3,Information Technology Support Technian,0.029
41344156,4,Information Technology Intern,0.026
41344156,5,IT Intern,0.0
41344156,6,Director of Information Technology,0.125
41344156,7,IT Support Intern,0.0
41344156,8,"IT Director, Technical Services",0.0
41344156,9,IT Summer Intern,0.0
68460556,0, Systems Administrator,0.0
68460556,1,Head of Digital Technology,0.063
68460556,2,Information Technology Technian,0.027
68460556,3,Information Technology Support Technian,0.031
68460556,4,Information Technology Intern,0.028
68460556,5,IT Intern,0.0
68460556,6,Director of Information Technology,0.083
68460556,7,IT Support Intern,0.0
68460556,8,"IT Director, Technical Services",0.0
68460556,9,IT Summer Intern,0.0
10247517,0, Systems Administrator,0.0
10247517,1,Head of Digital Technology,0.0
10247517,2,Information Technology Technian,0.0
10247517,3,Information Technology Support Technian,0.016
10247517,4,Information Technology Intern,0.0
10247517,5,IT Intern,0.0
10247517,6,Director of Information Technology,0.0
10247517,7,IT Support Intern,0.0
10247517,8,"IT Director, Technical Services",0.311
10247517,9,IT Summer Intern,0.0
25959103,0, Systems Administrator,0.047
25959103,1,Head of Digital Technology,0.0
25959103,2,Information Technology Technian,0.084
25959103,3,Information Technology Support Technian,0.095
25959103,4,Information Technology Intern,0.0
25959103,5,IT Intern,0.0
25959103,6,Director of Information Technology,0.0
25959103,7,IT Support Intern,0.033
25959103,8,"IT Director, Technical Services",0.0
25959103,9,IT Summer Intern,0.0
13385306,0, Systems Administrator,0.0
13385306,1,Head of Digital Technology,0.0
13385306,2,Information Technology Technian,0.0
13385306,3,Information Technology Support Technian,0.022
13385306,4,Information Technology Intern,0.0
13385306,5,IT Intern,0.0
13385306,6,Director of Information Technology,0.0
13385306,7,IT Support Intern,0.0
13385306,8,"IT Director, Technical Services",0.0
13385306,9,IT Summer Intern,0.0
38753827,0, Systems Administrator,0.026
38753827,1,Head of Digital Technology,0.0
38753827,2,Information Technology Technian,0.027
38753827,3,Information Technology Support Technian,0.094
38753827,4,Information Technology Intern,0.0
38753827,5,IT Intern,0.0
38753827,6,Director of Information Technology,0.0
38753827,7,IT Support Intern,0.022
38753827,8,"IT Director, Technical Services",0.036
38753827,9,IT Summer Intern,0.0
17681064,0, Systems Administrator,0.0
17681064,1,Head of Digital Technology,0.087
17681064,2,Information Technology Technian,0.104
17681064,3,Information Technology Support Technian,0.043
17681064,4,Information Technology Intern,0.038
17681064,5,IT Intern,0.0
17681064,6,Director of Information Technology,0.321
17681064,7,IT Support Intern,0.0
17681064,8,"IT Director, Technical Services",0.0
17681064,9,IT Summer Intern,0.0
25905275,0, Systems Administrator,0.0
25905275,1,Head of Digital Technology,0.0
25905275,2,Information Technology Technian,0.022
25905275,3,Information Technology Support Technian,0.044
25905275,4,Information Technology Intern,0.0
25905275,5,IT Intern,0.0
25905275,6,Director of Information Technology,0.0
25905275,7,IT Support Intern,0.018
25905275,8,"IT Director, Technical Services",0.0
25905275,9,IT Summer Intern,0.0
11580408,0, Systems Administrator,0.156
11580408,1,Head of Digital Technology,0.0
11580408,2,Information Technology Technian,0.192
11580408,3,Information Technology Support Technian,0.113
11580408,4,Information Technology Intern,0.0
11580408,5,IT Intern,0.0
11580408,6,Director of Information Technology,0.0
11580408,7,IT Support Intern,0.04
11580408,8,"IT Director, Technical Services",0.0
11580408,9,IT Summer Intern,0.0
19201175,0, Systems Administrator,0.065
19201175,1,Head of Digital Technology,0.0
19201175,2,Information Technology Technian,0.033
19201175,3,Information Technology Support Technian,0.3
19201175,4,Information Technology Intern,0.077
19201175,5,IT Intern,0.0
19201175,6,Director of Information Technology,0.0
19201175,7,IT Support Intern,0.027
19201175,8,"IT Director, Technical Services",0.0
19201175,9,IT Summer Intern,0.0
12635195,0, Systems Administrator,0.071
12635195,1,Head of Digital Technology,0.116
12635195,2,Information Technology Technian,0.065
12635195,3,Information Technology Support Technian,0.058
12635195,4,Information Technology Intern,0.051
12635195,5,IT Intern,0.0
12635195,6,Director of Information Technology,0.136
12635195,7,IT Support Intern,0.0
12635195,8,"IT Director, Technical Services",0.0
12635195,9,IT Summer Intern,0.0
32959732,0, Systems Administrator,0.0
32959732,1,Head of Digital Technology,0.0
32959732,2,Information Technology Technian,0.025
32959732,3,Information Technology Support Technian,0.051
32959732,4,Information Technology Intern,0.0
32959732,5,IT Intern,0.0
32959732,6,Director of Information Technology,0.032
32959732,7,IT Support Intern,0.021
32959732,8,"IT Director, Technical Services",0.0
32959732,9,IT Summer Intern,0.0
17688766,0, Systems Administrator,0.0
17688766,1,Head of Digital Technology,0.0
17688766,2,Information Technology Technian,0.0
17688766,3,Information Technology Support Technian,0.02
17688766,4,Information Technology Intern,0.0
17688766,5,IT Intern,0.0
17688766,6,Director of Information Technology,0.0
17688766,7,IT Support Intern,0.0
17688766,8,"IT Director, Technical Services",0.0
17688766,9,IT Summer Intern,0.0
20024870,0, Systems Administrator,0.0
20024870,1,Head of Digital Technology,0.062
20024870,2,Information Technology Technian,0.0
20024870,3,Information Technology Support Technian,0.031
20024870,4,Information Technology Intern,0.027
20024870,5,IT Intern,0.0
20024870,6,Director of Information Technology,0.095
20024870,7,IT Support Intern,0.0
20024870,8,"IT Director, Technical Services",0.0
20024870,9,IT Summer Intern,0.0
22450718,0, Systems Administrator,0.0
22450718,1,Head of Digital Technology,0.03
22450718,2,Information Technology Technian,0.0
22450718,3,Information Technology Support Technian,0.099
22450718,4,Information Technology Intern,0.013
22450718,5,IT Intern,0.0
22450718,6,Director of Information Technology,0.028
22450718,7,IT Support Intern,0.0
22450718,8,"IT Director, Technical Services",0.088
22450718,9,IT Summer Intern,0.0
46260230,0, Systems Administrator,0.098
46260230,1,Head of Digital Technology,0.0
46260230,2,Information Technology Technian,0.0
46260230,3,Information Technology Support Technian,0.268
46260230,4,Information Technology Intern,0.076
46260230,5,IT Intern,0.0
46260230,6,Director of Information Technology,0.0
46260230,7,IT Support Intern,0.0
46260230,8,"IT Director, Technical Services",0.099
46260230,9,IT Summer Intern,0.0
10839851,0, Systems Administrator,0.075
10839851,1,Head of Digital Technology,0.022
10839851,2,Information Technology Technian,0.03
10839851,3,Information Technology Support Technian,0.066
10839851,4,Information Technology Intern,0.034
10839851,5,IT Intern,0.0
10839851,6,Director of Information Technology,0.046
10839851,7,IT Support Intern,0.099
10839851,8,"IT Director, Technical Services",0.0
10839851,9,IT Summer Intern,0.0
18752129,0, Systems Administrator,0.0
18752129,1,Head of Digital Technology,0.027
18752129,2,Information Technology Technian,0.0
18752129,3,Information Technology Support Technian,0.014
18752129,4,Information Technology Intern,0.012
18752129,5,IT Intern,0.0
18752129,6,Director of Information Technology,0.025
18752129,7,IT Support Intern,0.0
18752129,8,"IT Director, Technical Services",0.0
18752129,9,IT Summer Intern,0.055
37764298,0, Systems Administrator,0.0
37764298,1,Head of Digital Technology,0.0
37764298,2,Information Technology Technian,0.0
37764298,3,Information Technology Support Technian,0.0
37764298,4,Information Technology Intern,0.0
37764298,5,IT Intern,0.0
37764298,6,Director of Information Technology,0.0
37764298,7,IT Support Intern,0.0
37764298,8,"IT Director, Technical Services",0.0
37764298,9,IT Summer Intern,0.0
90867631,0, Systems Administrator,0.02
90867631,1,Head of Digital Technology,0.0
90867631,2,Information Technology Technian,0.0
90867631,3,Information Technology Support Technian,0.031
90867631,4,Information Technology Intern,0.0
90867631,5,IT Intern,0.091
90867631,6,Director of Information Technology,0.0
90867631,7,IT Support Intern,0.0
90867631,8,"IT Director, Technical Services",0.0
90867631,9,IT Summer Intern,0.0
17641670,0, Systems Administrator,0.036
17641670,1,Head of Digital Technology,0.0
17641670,2,Information Technology Technian,0.033
17641670,3,Information Technology Support Technian,0.027
17641670,4,Information Technology Intern,0.0
17641670,5,IT Intern,0.0
17641670,6,Director of Information Technology,0.0
17641670,7,IT Support Intern,0.0
17641670,8,"IT Director, Technical Services",0.0
17641670,9,IT Summer Intern,0.0
24889109,0, Systems Administrator,0.0
24889109,1,Head of Digital Technology,0.029
24889109,2,Information Technology Technian,0.0
24889109,3,Information Technology Support Technian,0.014
24889109,4,Information Technology Intern,0.013
24889109,5,IT Intern,0.0
24889109,6,Director of Information Technology,0.095
24889109,7,IT Support Intern,0.0
24889109,8,"IT Director, Technical Services",0.0
24889109,9,IT Summer Intern,0.0
24083609,0, Systems Administrator,0.11
24083609,1,Head of Digital Technology,0.0
24083609,2,Information Technology Technian,0.078
24083609,3,Information Technology Support Technian,0.023
24083609,4,Information Technology Intern,0.0
24083609,5,IT Intern,0.0
24083609,6,Director of Information Technology,0.094
24083609,7,IT Support Intern,0.0
24083609,8,"IT Director, Technical Services",0.0
24083609,9,IT Summer Intern,0.0
24038620,0, Systems Administrator,0.031
24038620,1,Head of Digital Technology,0.0
24038620,2,Information Technology Technian,0.0
24038620,3,Information Technology Support Technian,0.085
24038620,4,Information Technology Intern,0.0
24038620,5,IT Intern,0.0
24038620,6,Director of Information Technology,0.0
24038620,7,IT Support Intern,0.048
24038620,8,"IT Director, Technical Services",0.097
24038620,9,IT Summer Intern,0.0
29051656,0, Systems Administrator,0.0
29051656,1,Head of Digital Technology,0.0
29051656,2,Information Technology Technian,0.0
29051656,3,Information Technology Support Technian,0.0
29051656,4,Information Technology Intern,0.0
29051656,5,IT Intern,0.0
29051656,6,Director of Information Technology,0.0
29051656,7,IT Support Intern,0.0
29051656,8,"IT Director, Technical Services",0.0
29051656,9,IT Summer Intern,0.0
20237244,0, Systems Administrator,0.078
20237244,1,Head of Digital Technology,0.0
20237244,2,Information Technology Technian,0.072
20237244,3,Information Technology Support Technian,0.027
20237244,4,Information Technology Intern,0.0
20237244,5,IT Intern,0.0
20237244,6,Director of Information Technology,0.0
20237244,7,IT Support Intern,0.0
20237244,8,"IT Director, Technical Services",0.0
20237244,9,IT Summer Intern,0.0
20001721,0, Systems Administrator,0.0
20001721,1,Head of Digital Technology,0.027
20001721,2,Information Technology Technian,0.034
20001721,3,Information Technology Support Technian,0.013
20001721,4,Information Technology Intern,0.237
20001721,5,IT Intern,0.0
20001721,6,Director of Information Technology,0.025
20001721,7,IT Support Intern,0.0
20001721,8,"IT Director, Technical Services",0.0
20001721,9,IT Summer Intern,0.0
92069209,0, Systems Administrator,0.0
92069209,1,Head of Digital Technology,0.056
92069209,2,Information Technology Technian,0.0
92069209,3,Information Technology Support Technian,0.094
92069209,4,Information Technology Intern,0.025
92069209,5,IT Intern,0.0
92069209,6,Director of Information Technology,0.086
92069209,7,IT Support Intern,0.0
92069209,8,"IT Director, Technical Services",0.0
92069209,9,IT Summer Intern,0.0
13405733,0, Systems Administrator,0.0
13405733,1,Head of Digital Technology,0.098
13405733,2,Information Technology Technian,0.039
13405733,3,Information Technology Support Technian,0.03
13405733,4,Information Technology Intern,0.027
13405733,5,IT Intern,0.052
13405733,6,Director of Information Technology,0.093
13405733,7,IT Support Intern,0.0
13405733,8,"IT Director, Technical Services",0.0
13405733,9,IT Summer Intern,0.05
28697203,0, Systems Administrator,0.0
28697203,1,Head of Digital Technology,0.0
28697203,2,Information Technology Technian,0.03
28697203,3,Information Technology Support Technian,0.0
28697203,4,Information Technology Intern,0.0
28697203,5,IT Intern,0.08
28697203,6,Director of Information Technology,0.103
28697203,7,IT Support Intern,0.0
28697203,8,"IT Director, Technical Services",0.0
28697203,9,IT Summer Intern,0.078
28035460,0, Systems Administrator,0.0
28035460,1,Head of Digital Technology,0.046
28035460,2,Information Technology Technian,0.0
28035460,3,Information Technology Support Technian,0.023
28035460,4,Information Technology Intern,0.02
28035460,5,IT Intern,0.0
28035460,6,Director of Information Technology,0.043
28035460,7,IT Support Intern,0.0
28035460,8,"IT Director, Technical Services",0.0
28035460,9,IT Summer Intern,0.0
21283365,0, Systems Administrator,0.039
21283365,1,Head of Digital Technology,0.116
21283365,2,Information Technology Technian,0.07
21283365,3,Information Technology Support Technian,0.146
21283365,4,Information Technology Intern,0.032
21283365,5,IT Intern,0.0
21283365,6,Director of Information Technology,0.11
21283365,7,IT Support Intern,0.028
21283365,8,"IT Director, Technical Services",0.0
21283365,9,IT Summer Intern,0.0
17987433,0, Systems Administrator,0.0
17987433,1,Head of Digital Technology,0.0
17987433,2,Information Technology Technian,0.0
17987433,3,Information Technology Support Technian,0.0
17987433,4,Information Technology Intern,0.0
17987433,5,IT Intern,0.0
17987433,6,Director of Information Technology,0.0
17987433,7,IT Support Intern,0.0
17987433,8,"IT Director, Technical Services",0.0
17987433,9,IT Summer Intern,0.0
10553553,0, Systems Administrator,0.271
10553553,1,Head of Digital Technology,0.0
10553553,2,Information Technology Technian,0.07
10553553,3,Information Technology Support Technian,0.014
10553553,4,Information Technology Intern,0.0
10553553,5,IT Intern,0.0
10553553,6,Director of Information Technology,0.0
10553553,7,IT Support Intern,0.0
10553553,8,"IT Director, Technical Services",0.0
10553553,9,IT Summer Intern,0.0
15118506,0, Systems Administrator,0.0
15118506,1,Head of Digital Technology,0.0
15118506,2,Information Technology Technian,0.0
15118506,3,Information Technology Support Technian,0.0
15118506,4,Information Technology Intern,0.0
15118506,5,IT Intern,0.0
15118506,6,Director of Information Technology,0.0
15118506,7,IT Support Intern,0.0
15118506,8,"IT Director, Technical Services",0.0
15118506,9,IT Summer Intern,0.0
18176523,0, Systems Administrator,0.033
18176523,1,Head of Digital Technology,0.03
18176523,2,Information Technology Technian,0.03
18176523,3,Information Technology Support Technian,0.05
18176523,4,Information Technology Intern,0.013
18176523,5,IT Intern,0.0
18176523,6,Director of Information Technology,0.065
18176523,7,IT Support Intern,0.0
18176523,8,"IT Director, Technical Services",0.0
18176523,9,IT Summer Intern,0.0
24020470,0, Systems Administrator,0.0
24020470,1,Head of Digital Technology,0.036
24020470,2,Information Technology Technian,0.0
24020470,3,Information Technology Support Technian,0.188
24020470,4,Information Technology Intern,0.016
24020470,5,IT Intern,0.0
24020470,6,Director of Information Technology,0.034
24020470,7,IT Support Intern,0.0
24020470,8,"IT Director, Technical Services",0.05
24020470,9,IT Summer Intern,0.0
70089206,0, Systems Administrator,0.0
70089206,1,Head of Digital Technology,0.0
70089206,2,Information Technology Technian,0.0
70089206,3,Information Technology Support Technian,0.076
70089206,4,Information Technology Intern,0.158
70089206,5,IT Intern,0.04
70089206,6,Director of Information Technology,0.0
70089206,7,IT Support Intern,0.0
70089206,8,"IT Director, Technical Services",0.0
70089206,9,IT Summer Intern,0.0
27770859,0, Systems Administrator,0.0
27770859,1,Head of Digital Technology,0.0
27770859,2,Information Technology Technian,0.0
27770859,3,Information Technology Support Technian,0.0
27770859,4,Information Technology Intern,0.0
27770859,5,IT Intern,0.0
27770859,6,Director of Information Technology,0.0
27770859,7,IT Support Intern,0.0
27770859,8,"IT Director, Technical Services",0.0
27770859,9,IT Summer Intern,0.0
57002858,0, Systems Administrator,0.0
57002858,1,Head of Digital Technology,0.0
57002858,2,Information Technology Technian,0.0
57002858,3,Information Technology Support Technian,0.013
57002858,4,Information Technology Intern,0.0
57002858,5,IT Intern,0.0
57002858,6,Director of Information Technology,0.0
57002858,7,IT Support Intern,0.0
57002858,8,"IT Director, Technical Services",0.0
57002858,9,IT Summer Intern,0.0
13477922,0, Systems Administrator,0.0
13477922,1,Head of Digital Technology,0.0
13477922,2,Information Technology Technian,0.0
13477922,3,Information Technology Support Technian,0.191
13477922,4,Information Technology Intern,0.076
13477922,5,IT Intern,0.0
13477922,6,Director of Information Technology,0.0
13477922,7,IT Support Intern,0.0
13477922,8,"IT Director, Technical Services",0.0
13477922,9,IT Summer Intern,0.0
28126340,0, Systems Administrator,0.0
28126340,1,Head of Digital Technology,0.0
28126340,2,Information Technology Technian,0.0
28126340,3,Information Technology Support Technian,0.0
28126340,4,Information Technology Intern,0.0
28126340,5,IT Intern,0.0
28126340,6,Director of Information Technology,0.0
28126340,7,IT Support Intern,0.0
28126340,8,"IT Director, Technical Services",0.0
28126340,9,IT Summer Intern,0.0
37242217,0, Systems Administrator,0.037
37242217,1,Head of Digital Technology,0.147
37242217,2,Information Technology Technian,0.098
37242217,3,Information Technology Support Technian,0.072
37242217,4,Information Technology Intern,0.034
37242217,5,IT Intern,0.0
37242217,6,Director of Information Technology,0.164
37242217,7,IT Support Intern,0.0
37242217,8,"IT Director, Technical Services",0.0
37242217,9,IT Summer Intern,0.0
10089434,0, Systems Administrator,0.043
10089434,1,Head of Digital Technology,0.0
10089434,2,Information Technology Technian,0.0
10089434,3,Information Technology Support Technian,0.0
10089434,4,Information Technology Intern,0.0
10089434,5,IT Intern,0.0
10089434,6,Director of Information Technology,0.0
10089434,7,IT Support Intern,0.0
10089434,8,"IT Director, Technical Services",0.0
10089434,9,IT Summer Intern,0.0
11957080,0, Systems Administrator,0.037
11957080,1,Head of Digital Technology,0.071
11957080,2,Information Technology Technian,0.151
11957080,3,Information Technology Support Technian,0.286
11957080,4,Information Technology Intern,0.044
11957080,5,IT Intern,0.0
11957080,6,Director of Information Technology,0.0
11957080,7,IT Support Intern,0.061
11957080,8,"IT Director, Technical Services",0.0
11957080,9,IT Summer Intern,0.0
35325329,0, Systems Administrator,0.102
35325329,1,Head of Digital Technology,0.0
35325329,2,Information Technology Technian,0.071
35325329,3,Information Technology Support Technian,0.0
35325329,4,Information Technology Intern,0.0
35325329,5,IT Intern,0.095
35325329,6,Director of Information Technology,0.069
35325329,7,IT Support Intern,0.0
35325329,8,"IT Director, Technical Services",0.0
35325329,9,IT Summer Intern,0.092
10840430,0, Systems Administrator,0.024
10840430,1,Head of Digital Technology,0.025
10840430,2,Information Technology Technian,0.0
10840430,3,Information Technology Support Technian,0.035
10840430,4,Information Technology Intern,0.011
10840430,5,IT Intern,0.0
10840430,6,Director of Information Technology,0.054
10840430,7,IT Support Intern,0.0
10840430,8,"IT Director, Technical Services",0.0
10840430,9,IT Summer Intern,0.0
64017585,0, Systems Administrator,0.04
64017585,1,Head of Digital Technology,0.0
64017585,2,Information Technology Technian,0.0
64017585,3,Information Technology Support Technian,0.039
64017585,4,Information Technology Intern,0.0
64017585,5,IT Intern,0.0
64017585,6,Director of Information Technology,0.0
64017585,7,IT Support Intern,0.0
64017585,8,"IT Director, Technical Services",0.0
64017585,9,IT Summer Intern,0.0
19850482,0, Systems Administrator,0.0
19850482,1,Head of Digital Technology,0.07
19850482,2,Information Technology Technian,0.0
19850482,3,Information Technology Support Technian,0.034
19850482,4,Information Technology Intern,0.014
19850482,5,IT Intern,0.0
19850482,6,Director of Information Technology,0.029
19850482,7,IT Support Intern,0.046
19850482,8,"IT Director, Technical Services",0.041
19850482,9,IT Summer Intern,0.0
52618188,0, Systems Administrator,0.041
52618188,1,Head of Digital Technology,0.0
52618188,2,Information Technology Technian,0.037
52618188,3,Information Technology Support Technian,0.0
52618188,4,Information Technology Intern,0.0
52618188,5,IT Intern,0.0
52618188,6,Director of Information Technology,0.058
52618188,7,IT Support Intern,0.0
52618188,8,"IT Director, Technical Services",0.0
52618188,9,IT Summer Intern,0.0
28897981,0, Systems Administrator,0.075
28897981,1,Head of Digital Technology,0.053
28897981,2,Information Technology Technian,0.037
28897981,3,Information Technology Support Technian,0.0
28897981,4,Information Technology Intern,0.0
28897981,5,IT Intern,0.0
28897981,6,Director of Information Technology,0.0
28897981,7,IT Support Intern,0.0
28897981,8,"IT Director, Technical Services",0.04
28897981,9,IT Summer Intern,0.0
